number,value,datetime_start,datetime_complete,duration,params_batch_size,params_freeze,params_learning_rate,params_num_epochs,state
0,0.7323943376541138,2026-04-15 00:23:23.332691,2026-04-15 00:25:36.612051,0 days 00:02:13.279360,32,True,0.002477571061654014,29,COMPLETE
1,0.8309859037399292,2026-04-15 00:25:36.614056,2026-04-15 00:26:27.326369,0 days 00:00:50.712313,64,False,3.15503969534913e-05,11,COMPLETE
2,0.7492957711219788,2026-04-15 00:26:27.329376,2026-04-15 00:27:59.785502,0 days 00:01:32.456126,64,True,0.0010993553721937459,21,COMPLETE
3,0.7436619997024536,2026-04-15 00:27:59.787500,2026-04-15 00:29:23.866971,0 days 00:01:24.079471,64,True,0.0025829288128302354,20,COMPLETE
4,0.7633802890777588,2026-04-15 00:29:23.869974,2026-04-15 00:30:21.086481,0 days 00:00:57.216507,64,False,0.0015628984677331054,13,COMPLETE
5,0.7267605662345886,2026-04-15 00:30:21.089472,2026-04-15 00:32:45.735627,0 days 00:02:24.646155,64,True,7.469465653974641e-05,35,COMPLETE
6,0.8619718551635742,2026-04-15 00:32:45.737617,2026-04-15 00:33:30.093216,0 days 00:00:44.355599,64,False,0.0005282583181000475,10,COMPLETE
7,0.7042253613471985,2026-04-15 00:33:30.095205,2026-04-15 00:34:13.564116,0 days 00:00:43.468911,32,True,0.000107165736714788,10,COMPLETE
8,0.597183108329773,2026-04-15 00:34:13.566113,2026-04-15 00:35:31.928177,0 days 00:01:18.362064,32,False,0.009586235093709681,17,COMPLETE
9,0.6929577589035034,2026-04-15 00:35:31.929819,2026-04-15 00:37:51.565952,0 days 00:02:19.636133,64,False,0.0025440110129133137,32,COMPLETE
10,0.8394365906715393,2026-04-15 00:37:51.567941,2026-04-15 00:41:32.014022,0 days 00:03:40.446081,32,False,0.00037542282970732236,48,COMPLETE
11,0.8788732290267944,2026-04-15 00:41:32.017026,2026-04-15 00:45:07.213665,0 days 00:03:35.196639,32,False,0.0003750600172085422,47,COMPLETE
12,0.8366197347640991,2026-04-15 00:45:07.216669,2026-04-15 00:48:56.095884,0 days 00:03:48.879215,32,False,0.00034384377045501986,50,COMPLETE
13,0.8816901445388794,2026-04-15 00:48:56.097878,2026-04-15 00:52:13.035758,0 days 00:03:16.937880,32,False,0.00017066990164679073,43,COMPLETE
14,0.8535211086273193,2026-04-15 00:52:13.038503,2026-04-15 00:55:24.553741,0 days 00:03:11.515238,32,False,1.1057545951588065e-05,42,COMPLETE
15,0.8732394576072693,2026-04-15 00:55:24.556746,2026-04-15 00:58:38.457463,0 days 00:03:13.900717,32,False,0.00011593498609501159,42,COMPLETE
16,0.8478873372077942,2026-04-15 00:58:38.459458,2026-04-15 01:01:52.467040,0 days 00:03:14.007582,32,False,0.0001803414943376836,42,COMPLETE
17,0.8563380241394043,2026-04-15 01:01:52.469041,2026-04-15 01:04:45.856870,0 days 00:02:53.387829,32,False,4.7559786039643697e-05,38,COMPLETE
18,0.7887324094772339,2026-04-15 01:04:45.858855,2026-04-15 01:08:19.378675,0 days 00:03:33.519820,32,False,0.0007935248522276816,47,COMPLETE
19,0.8619718551635742,2026-04-15 01:08:19.380675,2026-04-15 01:10:27.202107,0 days 00:02:07.821432,32,False,0.00020287741729129206,28,COMPLETE
20,0.8619718551635742,2026-04-15 01:10:27.204108,2026-04-15 01:13:47.422299,0 days 00:03:20.218191,32,False,1.9408318053749483e-05,44,COMPLETE
21,0.8704225420951843,2026-04-15 01:13:47.423301,2026-04-15 01:16:44.092650,0 days 00:02:56.669349,32,False,0.0001240014127010995,38,COMPLETE
22,0.8563380241394043,2026-04-15 01:16:44.094650,2026-04-15 01:20:12.894269,0 days 00:03:28.799619,32,False,6.0657979837904334e-05,45,COMPLETE
